Date,Open,High,Low,Close,Volume,Adj Close
2016-12-02,3015.13,3015.13,3015.13,3015.13,000,3015.13
2016-11-30,3051.61,3051.61,3051.61,3051.61,000,3051.61
2016-11-29,3038.42,3038.42,3038.42,3038.42,000,3038.42
2016-11-28,3016.80,3016.80,3016.80,3016.80,000,3016.80
2016-11-25,3048.38,3048.38,3048.38,3048.38,000,3048.38
2016-11-24,3040.60,3040.60,3040.60,3040.60,000,3040.60
2016-11-23,3032.15,3032.15,3032.15,3032.15,000,3032.15
2016-11-22,3044.33,3044.33,3044.33,3044.33,000,3044.33
2016-11-21,3032.97,3032.97,3032.97,3032.97,000,3032.97
2016-11-18,3020.83,3020.83,3020.83,3020.83,000,3020.83
2016-11-17,3041.79,3041.79,3041.79,3041.79,000,3041.79
2016-11-16,3026.36,3026.36,3026.36,3026.36,000,3026.36
2016-11-15,3049.72,3049.72,3049.72,3049.72,000,3049.72
2016-11-14,3039.80,3039.80,3039.80,3039.80,000,3039.80
2016-11-11,3030.02,3030.02,3030.02,3030.02,000,3030.02
2016-11-10,3046.59,3046.59,3046.59,3046.59,000,3046.59
2016-11-09,3056.29,3056.29,3056.29,3056.29,000,3056.29
2016-11-08,3023.43,3023.43,3023.43,3023.43,000,3023.43
2016-11-07,3009.28,3009.28,3009.28,3009.28,000,3009.28
2016-11-04,2954.53,2954.53,2954.53,2954.53,000,2954.53
2016-11-03,2973.49,2973.49,2973.49,2973.49,000,2973.49
2016-11-02,2980.17,2980.17,2980.17,2980.17,000,2980.17
2016-11-01,3023.15,3023.15,3023.15,3023.15,000,3023.15
2016-10-31,3055.25,3055.25,3055.25,3055.25,000,3055.25
2016-10-28,3079.24,3079.24,3079.24,3079.24,000,3079.24
2016-10-27,3085.17,3085.17,3085.17,3085.17,000,3085.17
2016-10-26,3080.98,3080.98,3080.98,3080.98,000,3080.98
2016-10-24,3093.86,3093.86,3093.86,3093.86,000,3093.86
2016-10-21,3077.65,3077.65,3077.65,3077.65,000,3077.65
2016-10-19,3055.94,3055.94,3055.94,3055.94,000,3055.94
2016-10-18,3046.99,3046.99,3046.99,3046.99,000,3046.99
2016-10-17,3008.72,3008.72,3008.72,3008.72,000,3008.72
2016-10-13,2975.04,2975.04,2975.04,2975.04,000,2975.04
2016-10-12,3008.03,3008.03,3008.03,3008.03,000,3008.03
2016-10-11,3020.69,3020.69,3020.69,3020.69,000,3020.69
2016-10-10,3035.76,3035.76,3035.76,3035.76,000,3035.76
2016-10-07,3000.57,3000.57,3000.57,3000.57,000,3000.57
2016-10-06,3021.58,3021.58,3021.58,3021.58,000,3021.58
2016-10-05,3026.28,3026.28,3026.28,3026.28,000,3026.28
2016-10-04,3029.50,3029.50,3029.50,3029.50,000,3029.50
2016-10-03,2998.50,2998.50,2998.50,2998.50,000,2998.50
2016-09-30,3002.24,3002.24,3002.24,3002.24,000,3002.24
2016-09-28,2991.11,2991.11,2991.11,2991.11,000,2991.11
2016-09-27,2970.84,2970.84,2970.84,2970.84,000,2970.84
2016-09-26,2975.88,2975.88,2975.88,2975.88,000,2975.88
2016-09-23,3032.31,3032.31,3032.31,3032.31,000,3032.31
2016-09-22,3051.69,3051.69,3051.69,3051.69,000,3051.69
2016-09-21,2982.18,2982.18,2982.18,2982.18,000,2982.18
2016-09-20,2964.86,2964.86,2964.86,2964.86,000,2964.86
2016-09-19,2968.31,2968.31,2968.31,2968.31,000,2968.31
2016-09-15,2973.77,2973.77,2973.77,2973.77,000,2973.77
2016-09-14,2964.90,2964.90,2964.90,2964.90,000,2964.90
2016-09-13,2974.80,2974.80,2974.80,2974.80,000,2974.80
2016-09-12,3012.88,3012.88,3012.88,3012.88,000,3012.88
2016-09-09,3053.20,3053.20,3053.20,3053.20,000,3053.20
2016-09-08,3083.54,3083.54,3083.54,3083.54,000,3083.54
2016-09-07,3091.66,3091.66,3091.66,3091.66,000,3091.66
2016-09-05,3077.66,3077.66,3077.66,3077.66,000,3077.66
2016-09-02,3079.74,3079.74,3079.74,3079.74,000,3079.74
2016-09-01,3017.49,3017.49,3017.49,3017.49,000,3017.49
2016-08-31,3023.13,3023.13,3023.13,3023.13,000,3023.13
2016-08-30,3030.75,3030.75,3030.75,3030.75,000,3030.75
2016-08-29,2998.50,2998.50,2998.50,2998.50,000,2998.50
2016-08-26,3010.36,3010.36,3010.36,3010.36,000,3010.36
2016-08-25,2987.69,2987.69,2987.69,2987.69,000,2987.69
2016-08-24,3008.59,3008.59,3008.59,3008.59,000,3008.59
2016-08-23,2993.73,2993.73,2993.73,2993.73,000,2993.73
2016-08-22,2960.37,2960.37,2960.37,2960.37,000,2960.37
2016-08-19,2968.20,2968.20,2968.20,2968.20,000,2968.20
2016-08-18,2995.30,2995.30,2995.30,2995.30,000,2995.30
2016-08-16,3016.20,3016.20,3016.20,3016.20,000,3016.20
2016-08-11,3049.03,3049.03,3049.03,3049.03,000,3049.03
2016-08-10,3018.46,3018.46,3018.46,3018.46,000,3018.46
2016-08-09,3029.18,3029.18,3029.18,3029.18,000,3029.18
2016-08-08,2982.92,2982.92,2982.92,2982.92,000,2982.92
2016-08-04,2932.34,2932.34,2932.34,2932.34,000,2932.34
2016-08-03,2911.06,2911.06,2911.06,2911.06,000,2911.06
2016-08-01,2967.31,2967.31,2967.31,2967.31,000,2967.31
2016-07-29,2990.76,2990.76,2990.76,2990.76,000,2990.76
2016-07-28,2966.10,2966.10,2966.10,2966.10,000,2966.10
2016-07-27,2999.48,2999.48,2999.48,2999.48,000,2999.48
2016-07-26,2978.90,2978.90,2978.90,2978.90,000,2978.90
2016-07-25,2973.22,2973.22,2973.22,2973.22,000,2973.22
2016-07-22,2972.23,2972.23,2972.23,2972.23,000,2972.23
2016-07-21,2968.49,2968.49,2968.49,2968.49,000,2968.49
2016-07-20,2966.95,2966.95,2966.95,2966.95,000,2966.95
2016-07-19,2931.10,2931.10,2931.10,2931.10,000,2931.10
2016-07-18,2949.17,2949.17,2949.17,2949.17,000,2949.17
2016-07-15,2958.65,2958.65,2958.65,2958.65,000,2958.65
2016-07-14,2963.07,2963.07,2963.07,2963.07,000,2963.07
2016-07-11,2885.32,2885.32,2885.32,2885.32,000,2885.32
2016-07-08,2838.01,2838.01,2838.01,2838.01,000,2838.01
2016-07-07,2780.10,2780.10,2780.10,2780.10,000,2780.10
2016-07-06,2761.37,2761.37,2761.37,2761.37,000,2761.37
2016-07-05,2812.88,2812.88,2812.88,2812.88,000,2812.88
2016-07-04,2862.21,2862.21,2862.21,2862.21,000,2862.21
2016-07-01,2883.06,2883.06,2883.06,2883.06,000,2883.06
2016-06-30,2864.74,2864.74,2864.74,2864.74,000,2864.74
2016-06-29,2832.18,2832.18,2832.18,2832.18,000,2832.18
2016-06-28,2758.67,2758.67,2758.67,2758.67,000,2758.67
2016-06-27,2697.44,2697.44,2697.44,2697.44,000,2697.44
2016-06-24,2776.09,2776.09,2776.09,2776.09,000,2776.09
2016-06-23,3037.86,3037.86,3037.86,3037.86,000,3037.86
2016-06-22,2978.31,2978.31,2978.31,2978.31,000,2978.31
2016-06-17,2849.17,2849.17,2849.17,2849.17,000,2849.17
2016-06-16,2819.30,2819.30,2819.30,2819.30,000,2819.30
2016-06-15,2830.30,2830.30,2830.30,2830.30,000,2830.30
2016-06-14,2797.18,2797.18,2797.18,2797.18,000,2797.18
2016-06-13,2853.52,2853.52,2853.52,2853.52,000,2853.52
2016-06-09,2989.03,2989.03,2989.03,2989.03,000,2989.03
2016-06-08,3019.76,3019.76,3019.76,3019.76,000,3019.76
2016-06-07,3040.69,3040.69,3040.69,3040.69,000,3040.69
2016-06-06,3001.90,3001.90,3001.90,3001.90,000,3001.90
2016-06-03,2997.55,2997.55,2997.55,2997.55,000,2997.55
2016-06-02,3033.86,3033.86,3033.86,3033.86,000,3033.86
2016-06-01,3038.77,3038.77,3038.77,3038.77,000,3038.77
2016-05-31,3063.48,3063.48,3063.48,3063.48,000,3063.48
2016-05-30,3090.01,3090.01,3090.01,3090.01,000,3090.01
2016-05-27,3078.48,3078.48,3078.48,3078.48,000,3078.48
2016-05-25,3061.60,3061.60,3061.60,3061.60,000,3061.60
2016-05-24,3010.12,3010.12,3010.12,3010.12,000,3010.12
2016-05-23,2932.93,2932.93,2932.93,2932.93,000,2932.93
2016-05-20,2962.16,2962.16,2962.16,2962.16,000,2962.16
2016-05-19,2919.22,2919.22,2919.22,2919.22,000,2919.22
2016-05-17,2938.09,2938.09,2938.09,2938.09,000,2938.09
2016-05-13,2956.63,2956.63,2956.63,2956.63,000,2956.63
2016-05-12,2935.46,2935.46,2935.46,2935.46,000,2935.46
2016-05-11,2956.71,2956.71,2956.71,2956.71,000,2956.71
2016-05-10,2978.97,2978.97,2978.97,2978.97,000,2978.97
2016-05-06,2936.84,2936.84,2936.84,2936.84,000,2936.84
2016-05-05,2940.35,2940.35,2940.35,2940.35,000,2940.35
2016-05-04,2938.75,2938.75,2938.75,2938.75,000,2938.75
2016-05-03,2974.20,2974.20,2974.20,2974.20,000,2974.20
2016-05-02,3032.60,3032.60,3032.60,3032.60,000,3032.60
2016-04-29,3028.21,3028.21,3028.21,3028.21,000,3028.21
2016-04-27,3130.43,3130.43,3130.43,3130.43,000,3130.43
2016-04-26,3121.29,3121.29,3121.29,3121.29,000,3121.29
2016-04-25,3117.62,3117.62,3117.62,3117.62,000,3117.62
2016-04-21,3151.69,3151.69,3151.69,3151.69,000,3151.69
2016-04-20,3142.52,3142.52,3142.52,3142.52,000,3142.52
2016-04-19,3112.99,3112.99,3112.99,3112.99,000,3112.99
2016-04-18,3064.03,3064.03,3064.03,3064.03,000,3064.03
2016-04-15,3054.34,3054.34,3054.34,3054.34,000,3054.34
2016-04-14,3060.86,3060.86,3060.86,3060.86,000,3060.86
2016-04-13,3039.19,3039.19,3039.19,3039.19,000,3039.19
2016-04-12,2942.09,2942.09,2942.09,2942.09,000,2942.09
2016-04-11,2924.23,2924.23,2924.23,2924.23,000,2924.23
2016-04-08,2911.98,2911.98,2911.98,2911.98,000,2911.98
2016-04-07,2871.57,2871.57,2871.57,2871.57,000,2871.57
2016-04-06,2909.36,2909.36,2909.36,2909.36,000,2909.36
2016-04-05,2890.35,2890.35,2890.35,2890.35,000,2890.35
2016-04-04,2962.28,2962.28,2962.28,2962.28,000,2962.28
2016-04-01,2953.28,2953.28,2953.28,2953.28,000,2953.28
2016-03-31,3004.93,3004.93,3004.93,3004.93,000,3004.93
2016-03-30,3044.10,3044.10,3044.10,3044.10,000,3044.10
2016-03-29,3004.87,3004.87,3004.87,3004.87,000,3004.87
2016-03-24,2986.73,2986.73,2986.73,2986.73,000,2986.73
2016-03-23,3042.42,3042.42,3042.42,3042.42,000,3042.42
2016-03-22,3051.23,3051.23,3051.23,3051.23,000,3051.23
2016-03-17,3043.10,3043.10,3043.10,3043.10,000,3043.10
2016-03-16,3062.05,3062.05,3062.05,3062.05,000,3062.05
